hand_id,idx,street,actor_seat,action,amount,bucket,to_call_after,pot_after,time_ms,rng_seed,snapped,meta,engine,evaluator,created_at
H1,0,preflop,0,call,,,0,0,,autoplay_test:1,,,PokerKit,PokerKit,2025-10-26T11:10:14+00:00
H1,0,preflop,0,raise,150,2.2x,120,0,,,1,"{""allowed_buckets"": [""call"", ""2.2x"", ""2.5x"", ""3.0x"", ""jam""]}",PokerKit,PokerKit,2025-10-26T11:10:29+00:00
H1,0,preflop,0,raise,325,3.0x,200,0,,,1,"{""allowed_buckets"": [""call"", ""2.2x"", ""2.5x"", ""3.0x"", ""jam""]}",PokerKit,PokerKit,2025-10-26T11:10:29+00:00
H1,0,preflop,0,call,,,0,0,,T12-roundtrip-1:1,,,PokerKit,PokerKit,2025-10-26T11:10:29+00:00
H1,0,preflop,0,call,,,0,0,,T12-roundtrip-1:1,,,PokerKit,PokerKit,2025-10-26T11:10:29+00:00
H1,0,preflop,0,raise,10000000,jam,999999999900,0,,JAM10:1,1,"{""allowed_buckets"": [""call"", ""2.2x"", ""2.5x"", ""3.0x"", ""jam""]}",PokerKit,PokerKit,2025-10-26T11:10:29+00:00
H1,0,preflop,0,call,,,0,0,,DOCS-EXAMPLE-SEED-1:1,,,PokerKit,PokerKit,2025-10-26T13:08:23+00:00
H1,1,flop,1,check,,,0,0,,autoplay_test:1,,,PokerKit,PokerKit,2025-10-26T11:10:14+00:00
H1,1,flop,1,check,,,0,0,,T12-roundtrip-1:1,,,PokerKit,PokerKit,2025-10-26T11:10:29+00:00
H1,1,flop,1,check,,,0,0,,T12-roundtrip-1:1,,,PokerKit,PokerKit,2025-10-26T11:10:29+00:00
H1,1,flop,1,check,,,0,0,,DOCS-EXAMPLE-SEED-1:1,,,PokerKit,PokerKit,2025-10-26T13:08:23+00:00
H1,2,flop,1,check,,,0,0,,autoplay_test:1,,,PokerKit,PokerKit,2025-10-26T11:10:14+00:00
H1,2,flop,1,check,,,0,0,,T12-roundtrip-1:1,,,PokerKit,PokerKit,2025-10-26T11:10:29+00:00
